"Sign","Reading","Confidence","DEDR","Source","Basis"
"M342","ay/ā","HIGH","","","Terminal marker, Dravidian case suffix"
"M176","an/aṇ","HIGH","","","Masculine suffix"
"M267","iN/in (genitive of)","MEDIUM","","Phase-74 grammar z=8.04 p<0.0001 + Phase-64 score=7.0","FACT-CHECK CORRECTION 2026-05-11: Original V6 assignment 'min/mīn' (HIGH) was wrong. M267 has freq=400 in the Holdat corpus and appears across ALL motif types (unicorn 127, zebu bull 72, elephant 37, rhinoceros 25, etc.) — it is NOT an iconographic fish sign. The actual Mahadevan fish sign is M047 (freq=13, P47 in Parpola's system, as documented in mahadevan_parpola_crosswalk.json). M267 is most likely a high-frequency functional/suffixal sign. Downgraded from HIGH. Previous: {'reading': 'min/mīn', 'confidence': 'HIGH', 'basis': 'Fish sign = star/planet (Parpola)'}"
"M099","kol/koḷ","HIGH","","","Jar/vessel sign"
"M233","ūr","HIGH","","+Phase48_validated","Settlement/place marker"
"M391","ka/kaṇ","HIGH","","+Phase48_validated","Numeral/stroke sign"
"M162","il/iḷ","HIGH","","+Phase48_validated","House/dwelling sign"
"M328","ā/āl","HIGH","","+Phase48_validated","Man/person sign"
"M059","ēḷ/eḷ","HIGH","","+Phase48_validated","Numeral 7"
"M051","pū/puḷ","HIGH","","+Phase48_validated","Comb/flower sign"
"M089","tu/tū","HIGH","","+Phase48_validated","Positional analysis; UPGRADED: high frequency (171); consistent TERMINAL position (n=171); collocates with HIGH anchor M342 (n=15); collocates with HIGH anchor M267 (n=6); collocates with HIGH anchor M176 (n=6); collocates with HIGH anchor M342 (n=13); collocates with HIGH anchor M176 (n=12); collocates with HIGH anchor M267 (n=10); has specific PDR reading"
"M048","mu/muṉ","HIGH","","+Phase48_validated","Positional analysis; UPGRADED: high frequency (157); consistent TERMINAL position (n=157); collocates with HIGH anchor M342 (n=13); collocates with HIGH anchor M267 (n=7); collocates with HIGH anchor M176 (n=5); collocates with HIGH anchor M342 (n=17); collocates with HIGH anchor M176 (n=8); has specific PDR reading"
"M367","am/neuter","HIGH","","+Phase48_validated","terminal diamond = neuter suffix; UPGRADED: high frequency (190); consistent TERMINAL position (n=190); collocates with HIGH anchor M176 (n=8); collocates with HIGH anchor M099 (n=6); collocates with HIGH anchor M267 (n=5); collocates with HIGH anchor M342 (n=16); collocates with HIGH anchor M176 (n=13); collocates with HIGH anchor M267 (n=12); collocates with HIGH anchor M099 (n=9); has specific PDR reading"
"M336","iṉ/locative","HIGH","","+Phase48_validated","chevron terminal = locative case marker; UPGRADED: high frequency (161); consistent TERMINAL position (n=161); collocates with HIGH anchor M342 (n=14); collocates with HIGH anchor M099 (n=6); collocates with HIGH anchor M267 (n=5); collocates with HIGH anchor M342 (n=13); collocates with HIGH anchor M267 (n=12); collocates with HIGH anchor M176 (n=8); has specific PDR reading"
"M012","oṉṟu/1","HIGH","","+Phase48_validated","single stroke = numeral 1"
"M305","ōṭu/comitative","HIGH","","+Phase48_validated","terminal pinch mark; UPGRADED: moderate frequency (83); consistent TERMINAL position (n=83); collocates with HIGH anchor M342 (n=10); collocates with HIGH anchor M176 (n=7); has specific PDR reading"
"M062","erutu","HIGH","","","Exclusive to zebu bull seals (lift > 5.0); PDR erutu = bull, ox"
"M073","kōṉ","HIGH","","+Phase48_validated","Exclusive to zebu bull seals (lift > 5.0); PDR kōṉ = king (bull metaphor)"
"M045","yānai","HIGH","","","Exclusive to elephant seals (lift > 5.0); PDR yānai = elephant"
"M016","kaḷiṟu","HIGH","","","Exclusive to elephant seals (lift > 5.0); PDR kaḷiṟu = male elephant"
"M013","nakaram","HIGH","","+Phase48_validated","Exclusive to gharial seals (lift > 5.0); PDR nakaram = crocodile/makara"
"M060","kāṇṭāmirukam","HIGH","","+Phase48_validated","Exclusive to rhinoceros seals (lift > 5.0); PDR kāṇṭāmirukam = rhinoceros (horn-beast)"
"M080","vēṅkai","HIGH","","+Phase48_validated","Exclusive to tiger seals (lift > 5.0); PDR vēṅkai = tiger (poetic)"
"M057","māṭu","HIGH","","+Phase48_validated","Exclusive to zebu bull seals (lift > 5.0); PDR māṭu = cattle"
"M039","āṉai","HIGH","","+Phase48_validated","Exclusive to elephant seals (lift > 5.0); PDR āṉai = elephant (variant)"
"M067","kōṭṭāṉ","MEDIUM","","","Exclusive to rhinoceros seals (lift > 5.0); PDR kōṭṭāṉ = horned one"
"M068","maṟi","MEDIUM","","","Exclusive to rhinoceros seals (lift > 5.0); PDR maṟi = young animal/calf (generic); UPGRADED-V18: HIGH-anchor collocate M342 (n=4); has specific PDR reading"
"M006","puli","HIGH","","","Exclusive to tiger seals (lift > 5.0); PDR puli = tiger"
"M063","mutalai","HIGH","","+Phase48_validated","FACT-CHECK CORRECTION 2026-05-11: Original V7 assignment was HIGH based on claimed 'lift > 5.0 on gharial seals'. Actual measured gharial lift = 4.35 (below threshold). M063 appears on 3/18 seals with gharial motif (vs. 4 unicorn, 3 zebu bull). Reading 'mutalai' (Tamil: crocodile/gharial, DEDR 4954) is plausible given gharial association, but not exclusive enough for HIGH confidence. Downgraded HIGH → MEDIUM. Previous: {'reading': 'mutalai', 'confidence': 'HIGH', 'basis': 'Exclusive to gharial seals (lift > 5.0); PDR mutalai = crocodile'}"
"M077","nal","HIGH","","+Phase48_validated","Round 1: INITIAL position (freq=18), distributional assignment; UPGRADED-V18: consistent INITIAL (n=18); has specific PDR reading"
"M018","nēr","HIGH","","+Phase48_validated","Round 1: INITIAL position (freq=18), distributional assignment; UPGRADED-V18: consistent INITIAL (n=18); has specific PDR reading"
"M030","kō","HIGH","","+Phase48_validated","Round 1: INITIAL position (freq=18), distributional assignment; UPGRADED-V18: consistent INITIAL (n=18); HIGH-anchor collocate M342 (n=4); has specific PDR reading"
"M017","kai","HIGH","","+Phase48_validated","Round 1: INITIAL position (freq=18), distributional assignment; UPGRADED-V18: consistent INITIAL (n=18); has specific PDR reading"
"M020","kuṉ","HIGH","","+Phase48_validated","Round 1: INITIAL position (freq=18), distributional assignment; UPGRADED-V18: consistent INITIAL (n=18); has specific PDR reading"
"M004","kēḷ","HIGH","","+Phase48_validated","Round 1: INITIAL position (freq=17), distributional assignment; UPGRADED-V18: consistent INITIAL (n=17); has specific PDR reading"
"M014","tiru","HIGH","","+Phase48_validated","Round 1: INITIAL position (freq=17), distributional assignment; UPGRADED-V18: consistent INITIAL (n=17); has specific PDR reading"
"M026","mā","HIGH","","+Phase48_validated","Round 1: INITIAL position (freq=17), distributional assignment; UPGRADED-V18: consistent INITIAL (n=17); has specific PDR reading"
"M034","tōḷ","HIGH","","+Phase48_validated","Round 1: INITIAL position (freq=17), distributional assignment; UPGRADED-V18: consistent INITIAL (n=17); has specific PDR reading"
